Date,Open,High,Low,Close,Adj Close,Volume
11/9/2017,308.64,329.45,307.06,320.88,320.88,893249984
11/10/2017,320.67,324.72,294.54,299.25,299.25,885985984
11/11/2017,298.59,319.45,298.19,314.68,314.68,842300992
11/12/2017,314.69,319.15,298.51,307.91,307.91,1613479936
11/13/2017,307.02,328.42,307.02,316.72,316.72,1041889984
11/14/2017,316.76,340.18,316.76,337.63,337.63,1069680000
11/15/2017,337.96,340.91,329.81,333.36,333.36,722665984
11/16/2017,333.44,336.16,323.61,330.92,330.92,797254016
11/17/2017,330.17,334.96,327.52,332.39,332.39,621732992
11/18/2017,331.98,349.62,327.69,347.61,347.61,649638976
11/19/2017,347.40,371.29,344.74,354.39,354.39,1181529984
11/20/2017,354.09,372.14,353.29,366.73,366.73,807027008
11/21/2017,367.44,372.47,350.69,360.40,360.40,949912000
11/22/2017,360.31,381.42,360.15,380.65,380.65,800819008
11/23/2017,381.44,425.55,376.09,410.17,410.17,1845680000
11/24/2017,412.50,480.97,402.76,474.91,474.91,2292829952
11/25/2017,475.68,485.19,461.05,466.28,466.28,1422080000
11/26/2017,465.97,472.72,451.61,471.33,471.33,1197779968
11/27/2017,471.53,493.40,468.48,480.36,480.36,1396480000
11/28/2017,480.52,482.48,466.35,472.90,472.90,1346499968
11/29/2017,473.28,522.31,425.07,427.52,427.52,2675940096
11/30/2017,431.21,465.50,401.24,447.11,447.11,1903040000
12/1/2017,445.21,472.61,428.31,466.54,466.54,1247879936
12/2/2017,466.85,476.24,456.65,463.45,463.45,943649984
12/3/2017,463.70,482.81,451.85,465.85,465.85,990556992
12/4/2017,466.05,474.78,453.31,470.20,470.20,1005550016
12/5/2017,470.29,473.56,457.66,463.28,463.28,1216720000
12/6/2017,462.60,462.71,420.21,428.59,428.59,1998259968
12/7/2017,426.37,441.40,414.41,434.41,434.41,2129570048
12/8/2017,434.99,466.06,422.37,456.03,456.03,2336379904
12/9/2017,457.34,504.15,456.25,473.50,473.50,2003849984
12/10/2017,472.79,472.79,429.51,441.72,441.72,1404179968
12/11/2017,440.36,516.97,439.10,515.14,515.14,1771440000
12/12/2017,522.29,657.32,504.49,651.43,651.43,5179829760
12/13/2017,644.91,747.99,597.80,702.77,702.77,4524539904
12/14/2017,700.59,753.12,664.99,695.82,695.82,3821580032
12/15/2017,696.38,697.13,621.06,684.45,684.45,2758710016
12/16/2017,686.19,718.39,680.79,696.21,696.21,2165690112
12/17/2017,696.24,735.83,696.24,719.97,719.97,2147389952
12/18/2017,721.73,803.93,689.23,794.65,794.65,3249230080
12/19/2017,793.90,881.94,785.34,826.82,826.82,4096549888
12/20/2017,827.52,845.06,756.00,819.09,819.09,3969939968
12/21/2017,820.24,880.54,792.69,821.06,821.06,3569060096
12/22/2017,822.64,827.68,543.76,674.86,674.86,4977710080
12/23/2017,681.32,763.90,679.73,719.39,719.39,2480339968
12/24/2017,721.77,721.77,614.92,694.15,694.15,2300549888
12/25/2017,698.87,782.52,698.87,765.83,765.83,2491760128
12/26/2017,763.37,786.79,760.93,773.84,773.84,2201159936
12/27/2017,774.97,789.25,738.41,762.84,762.84,2100029952
12/28/2017,762.21,763.32,701.19,737.02,737.02,2389149952
12/29/2017,740.39,770.12,729.61,753.59,753.59,2648969984
12/30/2017,753.82,753.82,685.23,717.26,717.26,3187780096
12/31/2017,712.21,760.35,710.12,756.73,756.73,2554269952
1/1/2018,755.76,782.53,742.00,772.64,772.64,2595760128
1/2/2018,772.35,914.83,772.35,884.44,884.44,5783349760
1/3/2018,886.00,974.47,868.45,962.72,962.72,5093159936
1/4/2018,961.71,1045.08,946.09,980.92,980.92,6502859776
1/5/2018,975.75,1075.39,956.33,997.72,997.72,6683149824
1/6/2018,995.15,1060.71,994.62,1041.68,1041.68,4662219776
1/7/2018,1043.01,1153.17,1043.01,1153.17,1153.17,5569880064
1/8/2018,1158.26,1266.93,1016.05,1148.53,1148.53,8450970112
1/9/2018,1146.00,1320.98,1145.49,1299.74,1299.74,7965459968
1/10/2018,1300.34,1417.38,1226.60,1255.82,1255.82,9214950400
1/11/2018,1268.09,1337.30,1135.17,1154.93,1154.93,7235899904
1/12/2018,1158.29,1296.04,1120.09,1273.20,1273.20,5222300160
1/13/2018,1270.47,1432.88,1270.47,1396.42,1396.42,5746760192
1/14/2018,1397.48,1400.56,1286.21,1366.77,1366.77,4841630208
1/15/2018,1365.21,1390.59,1290.60,1291.92,1291.92,4781100032
1/16/2018,1292.63,1292.63,875.54,1053.69,1053.69,8405139968
1/17/2018,1061.34,1090.23,780.92,1014.25,1014.25,8545160192
